FECHA_x,AGUA_ACTUAL_x,AGUA_TOTAL_x,max_cap,year,FECHA_y,AGUA_ACTUAL_y,AGUA_TOTAL_y,min_cap
1988-06-21,30441.0,42788.0,71.1437786295223,1988,1988-12-27,18661.0,42794.0,43.60658036173295
1989-12-26,26469.0,43703.0,60.565636226346015,1989,1989-11-14,14989.0,42809.0,35.013665350744006
1990-02-06,28641.0,44258.0,64.71372407248407,1990,1990-10-16,19415.0,48678.0,39.88454743415917
1991-04-23,30504.0,48678.0,62.66485886848268,1991,1991-10-29,18568.0,48700.0,38.12731006160164
1992-06-30,23351.0,48767.0,47.882789591322,1992,1992-09-29,18292.0,48949.0,37.369507037937446
1993-06-15,23936.0,48952.0,48.89687857493055,1993,1993-09-21,17535.0,48952.0,35.82080405294983
1994-05-31,26671.0,51114.0,52.17944203153735,1994,1994-10-11,17100.0,51114.0,33.454630825214224
1995-03-14,22530.0,51095.0,44.09433408356982,1995,1995-11-07,12765.0,51442.0,24.814354029781114
1996-05-28,37209.0,51562.0,72.16360885923743,1996,1996-01-02,22590.0,51442.0,43.9135336884258
1997-12-30,40604.0,51564.0,78.7448607555659,1997,1997-10-28,29672.0,51558.0,57.55071957795104
1998-06-09,42346.0,51564.0,82.12318671941665,1998,1998-12-29,29461.0,51689.0,56.99665305964518
1999-05-25,33647.0,53069.0,63.40236296142758,1999,1999-09-21,23011.0,53069.0,43.360530629934615
2000-05-30,34639.0,53069.0,65.2716275038158,2000,2000-10-24,22083.0,53168.0,41.53438158290701
2001-03-27,42037.0,53191.0,79.03028707864112,2001,2001-12-25,27102.0,53191.0,50.952228760504596
2002-12-31,33746.0,53211.0,63.419217830899626,2002,2002-10-08,24815.0,53224.0,46.62370359236435
2003-05-13,41888.0,53314.0,78.56848107438947,2003,2003-10-14,29796.0,53193.0,56.01488917714737
2004-06-01,40915.0,53198.0,76.91078611977893,2004,2004-10-19,28999.0,53198.0,54.511447798789426
2005-04-26,32191.0,53198.0,60.51167337117937,2005,2005-10-11,20756.0,53252.0,38.9769398332457
2006-05-02,31663.0,53252.0,59.45879966949598,2006,2006-10-17,20915.0,54151.0,38.623478790788724
2007-06-05,35395.0,54148.0,65.367141907365,2007,2007-12-25,22473.0,54148.0,41.502917928640024
2008-06-17,32686.0,54308.0,60.18634455328865,2008,2008-01-01,22466.0,54148.0,41.48999039669055
2009-04-28,33427.0,54364.0,61.48738135530866,2009,2009-11-03,22498.0,54375.0,41.375632183908046
2010-05-18,46684.0,55561.0,84.02296574935656,2010,2010-01-05,31945.0,55111.0,57.964834606521386
2011-05-17,45914.0,55590.0,82.59399172513042,2011,2011-10-25,32933.0,55590.0,59.242669544882176
2012-05-15,37131.0,55590.0,66.79438747976255,2012,2012-10-16,24777.0,55398.0,44.725441351673346
2013-05-07,47469.0,55326.0,85.79872031233054,2013,2013-01-01,30872.0,55327.0,55.799157734921465
2014-04-15,46518.0,55343.0,84.05399056791283,2014,2014-10-07,35074.0,55977.0,62.65787734247995
2015-05-12,44192.0,55977.0,78.946710255998,2015,2015-10-27,30759.0,55977.0,54.949354199046034
2016-05-17,42188.0,55977.0,75.36666845311467,2016,2016-11-22,26928.0,55978.0,48.10461252634964
2017-04-11,33313.0,55978.0,59.5108792740005,2017,2017-12-05,20446.0,56075.0,36.461881408827466
2018-06-19,40868.0,56074.0,72.88226272425723,2018,2018-01-02,21832.0,56075.0,38.933571110120376
2019-05-14,34043.0,56118.0,60.66324530453687,2019,2019-10-22,22313.0,56113.0,39.76440397055941
2020-05-26,37361.0,55622.0,67.16946531947791,2020,2020-10-20,25278.0,55899.0,45.22084473783073
2021-03-09,36018.0,55899.0,64.43406858798905,2021,2021-10-26,21786.0,56136.0,38.80932022231723
2022-05-10,28452.0,56136.0,50.68405301410859,2022,2022-10-18,17599.0,56069.0,31.38811107742246
2023-03-28,29012.0,56069.0,51.74338761169273,2023,2023-10-17,19368.0,56039.0,34.5616445689609
2024-03-19,32418.0,56039.0,57.8489980192366,2024,2024-01-16,25356.0,56039.0,45.24706008315637
