year,AGUA_ACTUAL,AGUA_TOTAL,Población,AGUA_ACTUAL_cap,AGUA_TOTAL_cap
1988,1319792.0,2216549.0,38802300,34013.24148310796,57124.165320097
1989,1009475.0,2229254.0,38853227,25981.754359811606,57376.28949070305
1990,1322481.0,2500038.0,38881416,34013.19026035471,64299.04713346859
1991,1271582.0,2580262.0,39051336,32561.80531185924,66073.59092656907
1992,1064804.0,2539021.0,39264034,27119.06779624325,64665.31177107273
1993,1081188.0,2546168.0,39458489,27400.643749941868,64527.762327645134
1994,1147613.0,2649260.0,39639726,28951.08306248131,66833.45893965059
1995,924835.0,2660085.0,39808374,23232.17220577761,66822.24699757896
1996,1674724.0,2730255.0,39971329,41898.13153322973,68305.3345561765
1997,1854301.0,2681109.0,40143449,46191.870559004536,66788.20746069925
1998,1903714.0,2679844.0,40303568,47234.37885201628,66491.48283844249
1999,1500938.0,2747950.0,40470182,37087.50309054701,67900.60889768176
2000,1461570.0,2761953.0,40665545,35941.237231666266,67918.75038192651
2001,1831500.0,2765915.0,41035271,44632.33592389338,67403.3564930033
2002,1543162.0,2820424.0,41827836,36893.182807735975,67429.35493961486
2003,1881948.0,2767147.0,42547454,44231.74180997998,65036.723466461706
2004,1840833.0,2766296.0,43296335,42517.06293384879,63892.15161052316
2005,1412236.0,2767917.0,44009969,32089.002380347054,62892.95500299035
2006,1385941.0,2780791.0,44784659,30946.780235615952,62092.49019848515
2007,1535082.0,2815703.0,45668938,33613.262476127646,61654.66339506296
2008,1396470.0,2876748.0,46239271,30200.95191379639,62214.38914986354
2009,1467742.0,2827658.0,46486621,31573.428406422572,60827.350733881045
2010,2133127.0,2886546.0,46667175,45709.36638011622,61853.88337734178
2011,2094808.0,2890668.0,46818216,44743.43917760557,61742.37822304037
2012,1651542.0,2885160.0,46727890,35343.81715074231,61743.85361718665
2013,2133181.0,2932560.0,46512199,45862.82837326182,63049.26584958927
2014,2143628.0,2886078.0,46449565,46149.58180986194,62133.58510461831
2015,1948370.0,2910804.0,46440099,41954.47559231086,62678.67775217275
2016,1806698.0,2910820.0,46527039,38831.140748071244,62561.90083362064
2017,1420371.0,2912006.0,46658447,30441.883331436213,62411.12139887553
2018,1692301.0,2915857.0,46937060,36054.68685085943,62122.70218884609
2019,1549704.0,2970124.0,47332614,32740.722918873653,62750.05221558226
2020,1632838.0,2895945.0,47398695,34449.007509594936,61097.56819254201
2021,1493342.0,2909829.0,47487400,31447.12070991463,61275.81211015975
2022,1214115.0,2918152.0,48047631,25268.987767575887,60734.565664642236
2023,1316966.0,2915198.0,48592909,27102.020173354922,59992.2511327733
